,rec_id,locus_tag,protein_id,gene,start,end,strand,pseudo,product,db_xref,EC_number,old_locus_tag,inference
CDS_CP065825.1_3066842_3066944_pos,CP065825.1,I8N74_15140,QPV90355.1,,3066842,3066944,pos,,YoaK family small membrane protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004150782.1
CDS_CP065825.1_3066943_3067018_pos,CP065825.1,I8N74_15145,QPV94604.1,yoaJ,3066943,3067018,pos,,protein YoaJ,,,,COORDINATES: protein motif:HMM:NF011343.0
CDS_CP065825.1_3067135_3067261_pos,CP065825.1,I8N74_15150,QPV90356.1,,3067135,3067261,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226350.1
CDS_CP065825.1_3067320_3067584_neg,CP065825.1,I8N74_15155,QPV90357.1,,3067320,3067584,neg,,DUF2534 family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226349.1
CDS_CP065825.1_3067714_3068353_neg,CP065825.1,I8N74_15160,QPV90358.1,leuE,3067714,3068353,neg,,leucine efflux protein LeuE,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226348.1
CDS_CP065825.1_3068442_3069357_neg,CP065825.1,I8N74_15165,QPV90359.1,lpxP,3068442,3069357,neg,,kdo(2)-lipid IV(A) palmitoleoyltransferase,,2.3.1.242,,COORDINATES: similar to AA sequence:RefSeq:YP_005226347.1
CDS_CP065825.1_3070018_3071062_neg,CP065825.1,I8N74_15170,QPV90360.1,,3070018,3071062,neg,,type II asparaginase,,3.5.1.1,,COORDINATES: similar to AA sequence:RefSeq:YP_005226344.1
CDS_CP065825.1_3071364_3072573_pos,CP065825.1,I8N74_15175,QPV90361.1,,3071364,3072573,pos,,HD domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226343.1
CDS_CP065825.1_3072646_3074431_pos,CP065825.1,I8N74_15180,QPV90362.1,,3072646,3074431,pos,,diguanylate cyclase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226342.1
CDS_CP065825.1_3074437_3075328_neg,CP065825.1,I8N74_15185,QPV90363.1,,3074437,3075328,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226341.1
CDS_CP065825.1_3075448_3076957_pos,CP065825.1,I8N74_15190,QPV90364.1,,3075448,3076957,pos,,UbiD family decarboxylase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226340.1
CDS_CP065825.1_3076990_3077155_pos,CP065825.1,I8N74_15195,QPV90365.1,,3076990,3077155,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226339.1
CDS_CP065825.1_3077235_3077933_neg,CP065825.1,I8N74_15200,,,3077235,3077933,neg,True,IS1 family transposase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_076612230.1
CDS_CP065825.1_3078043_3078730_neg,CP065825.1,I8N74_15205,QPV90366.1,,3078043,3078730,neg,,EAL domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226338.1
CDS_CP065825.1_3079127_3079307_neg,CP065825.1,I8N74_15210,QPV90367.1,,3079127,3079307,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226337.1
CDS_CP065825.1_3079346_3079979_neg,CP065825.1,I8N74_15215,QPV90368.1,,3079346,3079979,neg,,DNA-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226336.1
CDS_CP065825.1_3080545_3080743_pos,CP065825.1,I8N74_15220,QPV90369.1,,3080545,3080743,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226335.1
CDS_CP065825.1_3080858_3081869_neg,CP065825.1,I8N74_15225,QPV90370.1,cydB,3080858,3081869,neg,,cytochrome d ubiquinol oxidase subunit II,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226334.1
CDS_CP065825.1_3081865_3083272_neg,CP065825.1,I8N74_15230,QPV90371.1,,3081865,3083272,neg,,cytochrome ubiquinol oxidase subunit I,,,,COORDINATES: similar to AA sequence:RefSeq:WP_009308425.1
CDS_CP065825.1_3083327_3084215_neg,CP065825.1,I8N74_15235,QPV90372.1,,3083327,3084215,neg,,manganese catalase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226332.1
CDS_CP065825.1_3084231_3084738_neg,CP065825.1,I8N74_15240,QPV90373.1,,3084231,3084738,neg,,ferritin-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226331.1
CDS_CP065825.1_3084764_3085259_neg,CP065825.1,I8N74_15245,QPV90374.1,,3084764,3085259,neg,,ferritin-like domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226330.1
CDS_CP065825.1_3085349_3085535_neg,CP065825.1,I8N74_15250,QPV90375.1,,3085349,3085535,neg,,general stress protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005227107.1
CDS_CP065825.1_3085754_3085943_pos,CP065825.1,I8N74_15255,QPV90376.1,,3085754,3085943,pos,,hypothetical protein,,,,COORDINATES: ab initio prediction:GeneMarkS-2+
CDS_CP065825.1_3086158_3087352_pos,CP065825.1,I8N74_15260,QPV90377.1,,3086158,3087352,pos,,glutathione-dependent formaldehyde dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226327.1
CDS_CP065825.1_3087464_3087692_pos,CP065825.1,I8N74_15265,QPV90378.1,,3087464,3087692,pos,,DUF1272 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004140530.1
CDS_CP065825.1_3087712_3087898_neg,CP065825.1,I8N74_15270,QPV90379.1,,3087712,3087898,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004140532.1
CDS_CP065825.1_3087845_3088052_pos,CP065825.1,I8N74_15275,QPV90380.1,,3087845,3088052,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226325.1
CDS_CP065825.1_3088140_3088464_pos,CP065825.1,I8N74_15280,QPV90381.1,,3088140,3088464,pos,,antibiotic biosynthesis monooxygenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226324.1
CDS_CP065825.1_3088456_3088849_pos,CP065825.1,I8N74_15285,QPV90382.1,,3088456,3088849,pos,,amino acid-binding protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226323.1
CDS_CP065825.1_3088845_3089559_pos,CP065825.1,I8N74_15290,QPV90383.1,,3088845,3089559,pos,,winged helix-turn-helix transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226322.1
CDS_CP065825.1_3089831_3091082_neg,CP065825.1,I8N74_15295,QPV90384.1,icd,3089831,3091082,neg,,NADP-dependent isocitrate dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_000444467.1
CDS_CP065825.1_3091322_3091973_pos,CP065825.1,I8N74_15300,QPV90385.1,rluE,3091322,3091973,pos,,23S rRNA pseudouridine(2457) synthase RluE,,5.4.99.20,,COORDINATES: similar to AA sequence:RefSeq:YP_005226320.1
CDS_CP065825.1_3091989_3092448_pos,CP065825.1,I8N74_15305,QPV90386.1,,3091989,3092448,pos,,NUDIX hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226319.1
CDS_CP065825.1_3092504_3093611_pos,CP065825.1,I8N74_15310,QPV90387.1,mnmA,3092504,3093611,pos,,tRNA 2-thiouridine(34) synthase MnmA,,2.1.1.61,,COORDINATES: similar to AA sequence:RefSeq:YP_005226318.1
CDS_CP065825.1_3093665_3094307_pos,CP065825.1,I8N74_15315,QPV90388.1,hflD,3093665,3094307,pos,,high frequency lysogenization protein HflD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226317.1
CDS_CP065825.1_3094310_3095681_pos,CP065825.1,I8N74_15320,QPV90389.1,purB,3094310,3095681,pos,,adenylosuccinate lyase,,4.3.2.2,,COORDINATES: similar to AA sequence:RefSeq:WP_002950897.1
CDS_CP065825.1_3095735_3096098_neg,CP065825.1,I8N74_15325,QPV90390.1,,3095735,3096098,neg,,cupin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226315.1
CDS_CP065825.1_3096181_3096988_neg,CP065825.1,I8N74_15330,QPV90391.1,,3096181,3096988,neg,,AraC family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226314.1
CDS_CP065825.1_3097271_3097943_pos,CP065825.1,I8N74_15335,QPV90392.1,phoP,3097271,3097943,pos,,two-component system response regulator PhoP,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226313.1
CDS_CP065825.1_3097942_3099409_pos,CP065825.1,I8N74_15340,QPV90393.1,phoQ,3097942,3099409,pos,,two-component system sensor histidine kinase PhoQ,,2.7.13.3,,COORDINATES: similar to AA sequence:RefSeq:YP_005226312.1
CDS_CP065825.1_3099494_3100616_pos,CP065825.1,I8N74_15345,QPV90394.1,,3099494,3100616,pos,,cupin domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226311.1
CDS_CP065825.1_3100754_3101987_neg,CP065825.1,I8N74_15350,QPV90395.1,pepT,3100754,3101987,neg,,peptidase T,,3.4.11.4,,COORDINATES: similar to AA sequence:RefSeq:YP_005226310.1
CDS_CP065825.1_3102245_3103382_pos,CP065825.1,I8N74_15355,QPV90396.1,potA,3102245,3103382,pos,,spermidine/putrescine ABC transporter ATP-binding protein PotA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226309.1
CDS_CP065825.1_3103365_3104223_pos,CP065825.1,I8N74_15360,QPV90397.1,potB,3103365,3104223,pos,,spermidine/putrescine ABC transporter permease PotB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226308.1
CDS_CP065825.1_3104219_3105005_pos,CP065825.1,I8N74_15365,QPV90398.1,potC,3104219,3105005,pos,,spermidine/putrescine ABC transporter permease PotC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226307.1
CDS_CP065825.1_3105001_3106048_pos,CP065825.1,I8N74_15370,QPV90399.1,potD,3105001,3106048,pos,,spermidine/putrescine ABC transporter substrate-binding protein PotD,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005121082.1
CDS_CP065825.1_3106094_3107819_neg,CP065825.1,I8N74_15375,QPV90400.1,,3106094,3107819,neg,,aldehyde dehydrogenase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226305.1
CDS_CP065825.1_3107815_3109444_neg,CP065825.1,I8N74_15380,QPV90401.1,,3107815,3109444,neg,,long-chain fatty acid--CoA ligase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020804477.1
CDS_CP065825.1_3109681_3111685_neg,CP065825.1,I8N74_15385,QPV90402.1,tkt,3109681,3111685,neg,,transketolase,,2.2.1.1,,COORDINATES: similar to AA sequence:RefSeq:WP_017146112.1
CDS_CP065825.1_3111704_3112658_neg,CP065825.1,I8N74_15390,QPV90403.1,tal,3111704,3112658,neg,,transaldolase,,2.2.1.2,,COORDINATES: similar to AA sequence:RefSeq:WP_000130175.1
CDS_CP065825.1_3112685_3113144_neg,CP065825.1,I8N74_15395,QPV90404.1,rpiB,3112685,3113144,neg,,ribose 5-phosphate isomerase B,,5.3.1.6,,COORDINATES: similar to AA sequence:RefSeq:WP_015367158.1
CDS_CP065825.1_3113172_3113547_neg,CP065825.1,I8N74_15400,QPV90405.1,,3113172,3113547,neg,,PTS glucitol/sorbitol transporter subunit IIA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016160623.1
CDS_CP065825.1_3113548_3114568_neg,CP065825.1,I8N74_15405,QPV90406.1,,3113548,3114568,neg,,2-keto-3-deoxygluconate permease,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004190951.1
CDS_CP065825.1_3114660_3116379_neg,CP065825.1,I8N74_15410,QPV90407.1,,3114660,3116379,neg,,four-carbon acid sugar kinase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012968563.1
CDS_CP065825.1_3116414_3117422_neg,CP065825.1,I8N74_15415,QPV94605.1,pdxA,3116414,3117422,neg,,4-hydroxythreonine-4-phosphate dehydrogenase PdxA,,,,COORDINATES: similar to AA sequence:RefSeq:WP_008806010.1
CDS_CP065825.1_3117664_3118459_pos,CP065825.1,I8N74_15420,QPV94606.1,,3117664,3118459,pos,,triose-phosphate isomerase,,5.3.1.1,,COORDINATES: similar to AA sequence:RefSeq:WP_004195954.1
CDS_CP065825.1_3118494_3119457_pos,CP065825.1,I8N74_15425,QPV90408.1,,3118494,3119457,pos,,sugar-binding transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_020324988.1
CDS_CP065825.1_3119481_3119826_neg,CP065825.1,I8N74_15430,QPV90409.1,,3119481,3119826,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226302.1
CDS_CP065825.1_3119916_3120747_neg,CP065825.1,I8N74_15435,QPV90410.1,cobB,3119916,3120747,neg,,NAD-dependent protein deacylase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017898959.1
CDS_CP065825.1_3120761_3121673_neg,CP065825.1,I8N74_15440,QPV90411.1,nagK,3120761,3121673,neg,,N-acetylglucosamine kinase,,2.7.1.59,,COORDINATES: similar to AA sequence:RefSeq:YP_005226300.1
CDS_CP065825.1_3121721_3122966_neg,CP065825.1,I8N74_15445,QPV90412.1,lolE,3121721,3122966,neg,,lipoprotein-releasing ABC transporter permease subunit LolE,,,,COORDINATES: similar to AA sequence:RefSeq:NP_460189.1
CDS_CP065825.1_3122965_3123667_neg,CP065825.1,I8N74_15450,QPV90413.1,lolD,3122965,3123667,neg,,lipoprotein-releasing ABC transporter ATP-binding protein LolD,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226298.1
CDS_CP065825.1_3123659_3124859_neg,CP065825.1,I8N74_15455,QPV90414.1,lolC,3123659,3124859,neg,,lipoprotein-releasing ABC transporter permease subunit LolC,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004976588.1
CDS_CP065825.1_3124992_3125124_neg,CP065825.1,I8N74_15460,QPV90415.1,,3124992,3125124,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226296.1
CDS_CP065825.1_3125163_3128610_pos,CP065825.1,I8N74_15465,QPV90416.1,mfd,3125163,3128610,pos,,transcription-repair coupling factor,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226295.1
CDS_CP065825.1_3128767_3129733_pos,CP065825.1,I8N74_15470,QPV90417.1,,3128767,3129733,pos,,"L,D-transpeptidase family protein",,,,COORDINATES: similar to AA sequence:RefSeq:WP_001350500.1
CDS_CP065825.1_3129861_3130119_neg,CP065825.1,I8N74_15475,QPV90418.1,,3129861,3130119,neg,,DUF1471 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226293.1
CDS_CP065825.1_3130216_3130372_pos,CP065825.1,I8N74_15480,QPV90419.1,,3130216,3130372,pos,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226292.1
CDS_CP065825.1_3130368_3131004_pos,CP065825.1,I8N74_15485,QPV90420.1,,3130368,3131004,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004224105.1
CDS_CP065825.1_3131056_3131179_neg,CP065825.1,I8N74_15490,QPV90421.1,,3131056,3131179,neg,,hypothetical protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226290.1
CDS_CP065825.1_3131247_3133437_pos,CP065825.1,I8N74_15495,QPV90422.1,,3131247,3133437,pos,,TonB-dependent siderophore receptor,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226287.1
CDS_CP065825.1_3133494_3134034_neg,CP065825.1,I8N74_15500,QPV90423.1,,3133494,3134034,neg,,glycine zipper 2TM domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226286.1
CDS_CP065825.1_3134228_3135533_neg,CP065825.1,I8N74_15505,QPV90424.1,,3134228,3135533,neg,,NAD(P)/FAD-dependent oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_017384716.1
CDS_CP065825.1_3135778_3136321_neg,CP065825.1,I8N74_15510,QPV90425.1,,3135778,3136321,neg,,alpha/beta hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005126033.1
CDS_CP065825.1_3136356_3137367_neg,CP065825.1,I8N74_15515,QPV90426.1,nagZ,3136356,3137367,neg,,beta-N-acetylhexosaminidase,,3.2.1.52,,COORDINATES: similar to AA sequence:RefSeq:YP_005226283.1
CDS_CP065825.1_3137390_3138218_neg,CP065825.1,I8N74_15520,QPV94607.1,thiK,3137390,3138218,neg,,thiamine kinase,,2.7.1.89,,COORDINATES: similar to AA sequence:RefSeq:YP_005226282.1
CDS_CP065825.1_3138198_3138837_neg,CP065825.1,I8N74_15525,QPV94608.1,lpoB,3138198,3138837,neg,,penicillin-binding protein activator LpoB,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226281.1
CDS_CP065825.1_3138858_3139233_neg,CP065825.1,I8N74_15530,QPV90427.1,,3138858,3139233,neg,,YcfL family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_002900683.1
CDS_CP065825.1_3139237_3139594_neg,CP065825.1,I8N74_15535,QPV90428.1,hinT,3139237,3139594,neg,,purine nucleoside phosphoramidase,,3.9.1.-,,COORDINATES: similar to AA sequence:RefSeq:YP_005226279.1
CDS_CP065825.1_3139855_3141289_neg,CP065825.1,I8N74_15540,QPV90429.1,ptsG,3139855,3141289,neg,,PTS glucose transporter subunit IIBC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226278.1
CDS_CP065825.1_3141585_3142380_neg,CP065825.1,I8N74_15545,QPV90430.1,,3141585,3142380,neg,,metal-dependent hydrolase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226277.1
CDS_CP065825.1_3142390_3143395_neg,CP065825.1,I8N74_15550,QPV90431.1,holB,3142390,3143395,neg,,DNA polymerase III subunit delta',,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226276.1
CDS_CP065825.1_3143391_3144033_neg,CP065825.1,I8N74_15555,QPV90432.1,,3143391,3144033,neg,,dTMP kinase,,2.7.4.9,,COORDINATES: similar to AA sequence:RefSeq:YP_005226275.1
CDS_CP065825.1_3144022_3145045_neg,CP065825.1,I8N74_15560,QPV90433.1,yceG,3144022,3145045,neg,,cell division protein YceG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226274.1
CDS_CP065825.1_3145046_3145856_neg,CP065825.1,I8N74_15565,QPV90434.1,pabC,3145046,3145856,neg,,aminodeoxychorismate lyase,,4.1.3.38,,COORDINATES: similar to AA sequence:RefSeq:YP_005226273.1
CDS_CP065825.1_3145981_3147223_neg,CP065825.1,I8N74_15570,QPV90435.1,fabF,3145981,3147223,neg,,beta-ketoacyl-ACP synthase II,,,,COORDINATES: similar to AA sequence:RefSeq:NP_309500.1
CDS_CP065825.1_3147312_3147549_neg,CP065825.1,I8N74_15575,QPV90436.1,acpP,3147312,3147549,neg,,acyl carrier protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016535861.1
CDS_CP065825.1_3147759_3148494_neg,CP065825.1,I8N74_15580,QPV90437.1,fabG,3147759,3148494,neg,,3-oxoacyl-ACP reductase FabG,,1.1.1.100,,COORDINATES: similar to AA sequence:RefSeq:WP_005129017.1
CDS_CP065825.1_3148506_3149436_neg,CP065825.1,I8N74_15585,QPV90438.1,fabD,3148506,3149436,neg,,ACP S-malonyltransferase,,2.3.1.39,,COORDINATES: similar to AA sequence:RefSeq:YP_005226269.1
CDS_CP065825.1_3149451_3150405_neg,CP065825.1,I8N74_15590,QPV90439.1,,3149451,3150405,neg,,ketoacyl-ACP synthase III,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005129019.1
CDS_CP065825.1_3150458_3151619_neg,CP065825.1,I8N74_15595,QPV94609.1,plsX,3150458,3151619,neg,,phosphate acyltransferase PlsX,,2.3.1.-,,COORDINATES: similar to AA sequence:RefSeq:WP_004140697.1
CDS_CP065825.1_3151759_3151933_neg,CP065825.1,I8N74_15600,QPV90440.1,rpmF,3151759,3151933,neg,,50S ribosomal protein L32,,,,COORDINATES: similar to AA sequence:RefSeq:WP_005125993.1
CDS_CP065825.1_3151949_3152471_neg,CP065825.1,I8N74_15605,QPV90441.1,yceD,3151949,3152471,neg,,23S rRNA accumulation protein YceD,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001174481.1
CDS_CP065825.1_3152612_3153197_pos,CP065825.1,I8N74_15610,QPV90442.1,maf,3152612,3153197,pos,,septum formation inhibitor Maf,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226264.1
CDS_CP065825.1_3153234_3154188_neg,CP065825.1,I8N74_15615,QPV90443.1,rluC,3153234,3154188,neg,,23S rRNA pseudouridine(955/2504/2580) synthase RluC,,5.4.99.24,,COORDINATES: similar to AA sequence:RefSeq:NP_460157.1
CDS_CP065825.1_3154887_3157873_pos,CP065825.1,I8N74_15620,,rne,3154887,3157873,pos,True,ribonuclease E,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226262.1
CDS_CP065825.1_3157869_3158121_pos,CP065825.1,I8N74_15625,QPV90444.1,,3157869,3158121,pos,,hypothetical protein,,,,COORDINATES: protein motif:HMM:NF023533.1
CDS_CP065825.1_3158159_3159188_neg,CP065825.1,I8N74_15630,QPV90445.1,,3158159,3159188,neg,,LysR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226260.1
CDS_CP065825.1_3159204_3160419_pos,CP065825.1,I8N74_15635,QPV90446.1,,3159204,3160419,pos,,MFS transporter,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226259.1
CDS_CP065825.1_3160473_3162009_neg,CP065825.1,I8N74_15640,QPV90447.1,murJ,3160473,3162009,neg,,murein biosynthesis integral membrane protein MurJ,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226258.1
CDS_CP065825.1_3162120_3163032_neg,CP065825.1,I8N74_15645,QPV94610.1,,3162120,3163032,neg,,Gfo/Idh/MocA family oxidoreductase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226257.1
CDS_CP065825.1_3163047_3163701_neg,CP065825.1,I8N74_15650,QPV90448.1,,3163047,3163701,neg,,YceH family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226256.1
CDS_CP065825.1_3163710_3164295_neg,CP065825.1,I8N74_15655,QPV94611.1,rimJ,3163710,3164295,neg,,ribosomal protein S5-alanine N-acetyltransferase,,,,COORDINATES: similar to AA sequence:RefSeq:NP_460138.1
CDS_CP065825.1_3164524_3165733_pos,CP065825.1,I8N74_15660,QPV90449.1,mdtH,3164524,3165733,pos,,multidrug efflux MFS transporter MdtH,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226254.1
CDS_CP065825.1_3165846_3166407_pos,CP065825.1,I8N74_15665,QPV90450.1,,3165846,3166407,pos,,lipoprotein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226253.1
CDS_CP065825.1_3166532_3167579_pos,CP065825.1,I8N74_15670,QPV90451.1,pyrC,3166532,3167579,pos,,dihydroorotase,,3.5.2.3,,COORDINATES: similar to AA sequence:RefSeq:NP_415580.1
CDS_CP065825.1_3167651_3167903_pos,CP065825.1,I8N74_15675,QPV90452.1,dinI,3167651,3167903,pos,,DNA damage-inducible protein I,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226250.1
CDS_CP065825.1_3168205_3168460_pos,CP065825.1,I8N74_15680,QPV94612.1,bssS,3168205,3168460,pos,,biofilm formation regulator BssS,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226249.1
CDS_CP065825.1_3168585_3169704_pos,CP065825.1,I8N74_15685,QPV90453.1,solA,3168585,3169704,pos,,N-methyl-L-tryptophan oxidase,,1.5.3.2,,COORDINATES: similar to AA sequence:RefSeq:YP_005226248.1
CDS_CP065825.1_3169775_3169889_pos,CP065825.1,I8N74_15690,QPV90454.1,,3169775,3169889,pos,,YceO family protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226247.1
CDS_CP065825.1_3169874_3170939_neg,CP065825.1,I8N74_15695,QPV90455.1,,3169874,3170939,neg,,rhodanese-related sulfurtransferase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226246.1
CDS_CP065825.1_3171144_3172065_pos,CP065825.1,I8N74_15700,QPV90456.1,,3171144,3172065,pos,,LpxL/LpxP family Kdo(2)-lipid IV(A) lauroyl/palmitoleoyl acyltransferasee,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226244.1
CDS_CP065825.1_3172236_3173463_pos,CP065825.1,I8N74_15705,QPV90457.1,mdtG,3172236,3173463,pos,,multidrug efflux MFS transporter MdtG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226243.1
CDS_CP065825.1_3173554_3173941_pos,CP065825.1,I8N74_15710,QPV90458.1,,3173554,3173941,pos,,secY/secA suppressor protein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226242.1
CDS_CP065825.1_3173941_3174169_neg,CP065825.1,I8N74_15715,QPV90459.1,,3173941,3174169,neg,,YceK/YidQ family lipoprotein,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226241.1
CDS_CP065825.1_3174235_3176764_neg,CP065825.1,I8N74_15720,QPV90460.1,mdoH,3174235,3176764,neg,,glucans biosynthesis glucosyltransferase MdoH,,2.4.1.-,,COORDINATES: similar to AA sequence:RefSeq:YP_005226240.1
CDS_CP065825.1_3176756_3178310_neg,CP065825.1,I8N74_15725,QPV90461.1,mdoG,3176756,3178310,neg,,glucans biosynthesis protein MdoG,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226239.1
CDS_CP065825.1_3178561_3179722_pos,CP065825.1,I8N74_15730,QPV90462.1,mdoC,3178561,3179722,pos,,glucans biosynthesis protein MdoC,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226238.1
CDS_CP065825.1_3179756_3180350_neg,CP065825.1,I8N74_15735,QPV90463.1,,3179756,3180350,neg,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226237.1
CDS_CP065825.1_3180416_3180944_neg,CP065825.1,I8N74_15740,QPV90464.1,ymdB,3180416,3180944,neg,,O-acetyl-ADP-ribose deacetylase,,3.1.1.-,,COORDINATES: similar to AA sequence:RefSeq:YP_005226236.1
CDS_CP065825.1_3181093_3181576_neg,CP065825.1,I8N74_15745,QPV90465.1,,3181093,3181576,neg,,DUF1097 domain-containing protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_016531954.1
CDS_CP065825.1_3181679_3182234_neg,CP065825.1,I8N74_15750,QPV90466.1,,3181679,3182234,neg,,molecular chaperone,,,,COORDINATES: similar to AA sequence:RefSeq:WP_001001921.1
CDS_CP065825.1_3182256_3182994_neg,CP065825.1,I8N74_15755,QPV90467.1,,3182256,3182994,neg,,phosphatase,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226233.1
CDS_CP065825.1_3183082_3184021_neg,CP065825.1,I8N74_15760,QPV90468.1,ghrA,3183082,3184021,neg,,glyoxylate/hydroxypyruvate reductase GhrA,,,,COORDINATES: similar to AA sequence:RefSeq:YP_005226232.1
CDS_CP065825.1_3185268_3186132_pos,CP065825.1,I8N74_15785,QPV90469.1,,3185268,3186132,pos,,arginase family protein,,,,COORDINATES: similar to AA sequence:RefSeq:WP_012968583.1
CDS_CP065825.1_3186226_3186799_pos,CP065825.1,I8N74_15790,QPV90470.1,,3186226,3186799,pos,,TetR/AcrR family transcriptional regulator,,,,COORDINATES: similar to AA sequence:RefSeq:WP_004141419.1
